
Number,1801,1811,1821,1831,1841,1851,1861,1871,1881,1891,1901,1911,1921,1931,1939,1951,1961,1971,1981,1991,2001,2011
City of London,"129,000","121,000","125,000","123,000","124,000","128,000","112,000","75,000","51,000","38,000","27,000","20,000","14,000","11,000","9,000","5,000","4,767","4,246","5,864","4,230","7,181","7,375"
Barking and Dagenham,"3,000","4,000","5,000","6,000","7,000","8,000","8,000","10,000","13,000","19,000","27,000","39,000","44,000","138,000","184,000","189,000","177,092","160,798","149,786","140,728","163,944","185,911"
Barnet,"8,000","9,000","11,000","13,000","14,000","15,000","20,000","29,000","41,000","58,000","76,000","118,000","147,000","231,000","296,000","320,000","318,373","306,561","293,436","284,106","314,565","356,386"
Bexley,"5,000","6,000","7,000","9,000","11,000","12,000","15,000","22,000","29,000","37,000","54,000","60,000","76,000","95,000","179,000","205,000","209,893","217,076","215,233","211,404","218,301","231,997"
Brent,"2,000","2,000","3,000","3,000","5,000","5,000","6,000","19,000","31,000","65,000","120,000","166,000","184,000","251,000","310,000","311,000","295,893","280,660","253,275","227,903","263,466","311,215"
Bromley,"8,000","9,000","11,000","12,000","14,000","16,000","22,000","42,000","62,000","83,000","100,000","116,000","127,000","165,000","237,000","268,000","294,440","305,373","296,539","282,920","295,535","309,392"
Camden,"100,000","128,000","163,000","199,000","229,000","270,000","307,000","342,000","357,000","370,000","377,000","353,000","341,000","326,000","301,000","258,000","245,707","206,739","172,014","165,274","198,022","220,338"
Croydon,"8,000","10,000","12,000","15,000","20,000","23,000","33,000","60,000","85,000","110,000","143,000","190,000","213,000","271,000","297,000","310,000","327,427","333,868","317,980","301,904","330,584","363,378"
Ealing,"7,000","8,000","9,000","11,000","13,000","14,000","20,000","31,000","47,000","63,000","95,000","165,000","181,000","226,000","285,000","311,000","301,646","301,111","279,846","264,867","300,943","338,449"
Enfield,"11,000","13,000","16,000","17,000","18,000","19,000","23,000","30,000","42,000","68,000","105,000","155,000","167,000","201,000","272,000","288,000","273,857","268,000","258,770","250,750","273,565","312,466"
Greenwich,"35,000","46,000","50,000","56,000","70,000","90,000","125,000","123,000","139,000","175,000","210,000","213,000","237,000","244,000","243,000","236,000","229,810","217,663","211,840","201,545","214,402","254,557"
Hackney,"50,000","64,000","80,000","105,000","128,000","170,000","218,000","261,000","329,000","372,000","389,000","385,000","379,000","364,000","332,000","265,000","257,522","220,280","180,434","162,772","202,825","246,270"
Hammersmith and Fulham,"10,000","13,000","15,000","18,000","23,000","30,000","40,000","66,000","115,000","189,000","250,000","275,000","288,000","286,000","259,000","241,000","222,124","187,196","148,447","137,720","165,238","182,493"
Haringey,"6,000","7,000","9,000","10,000","13,000","14,000","21,000","37,000","73,000","142,000","209,000","271,000","285,000","307,000","292,000","277,000","259,156","240,075","203,553","186,490","216,505","254,926"
Harrow,"4,000","5,000","5,000","7,000","7,000","8,000","9,000","11,000","13,000","15,000","24,000","42,000","49,000","97,000","190,000","219,000","209,080","203,215","196,571","194,893","206,822","239,056"
Havering,"6,000","7,000","8,000","9,000","11,000","11,000","12,000","15,000","16,000","20,000","26,000","33,000","38,000","77,000","139,000","192,000","245,598","247,696","240,849","225,144","224,262","237,232"
Hillingdon,"9,000","11,000","12,000","14,000","17,000","18,000","20,000","21,000","23,000","25,000","29,000","38,000","48,000","84,000","159,000","210,000","228,370","234,887","229,913","228,476","243,006","273,936"
Hounslow,"14,000","16,000","19,000","22,000","25,000","27,000","32,000","41,000","55,000","68,000","85,000","109,000","117,000","156,000","196,000","211,000","208,893","206,957","200,829","196,602","212,352","253,957"
Islington,"65,000","83,000","108,000","137,000","168,000","220,000","283,000","337,000","401,000","429,000","436,000","415,000","407,000","392,000","343,000","271,000","261,232","201,875","160,890","154,873","175,789","206,125"
Kensington and Chelsea,"18,000","25,000","35,000","46,000","58,000","88,000","120,000","177,000","234,000","243,000","250,000","239,000","240,000","240,000","228,000","219,000","218,528","188,226","138,837","126,285","158,921","158,649"
Kingston upon Thames,"5,000","5,000","6,000","8,000","10,000","12,000","18,000","27,000","36,000","45,000","56,000","68,000","74,000","93,000","129,000","147,000","146,010","140,527","132,957","131,436","147,271","160,060"
Lambeth,"33,000","49,000","67,000","99,000","129,000","155,000","182,000","236,000","293,000","333,000","384,000","408,000","419,000","421,000","391,000","347,000","341,626","307,514","246,426","220,252","266,170","303,086"
Lewisham,"16,000","20,000","24,000","26,000","34,000","44,000","67,000","101,000","145,000","191,000","238,000","270,000","287,000","327,000","325,000","303,000","290,582","268,474","231,324","215,483","248,917","275,885"
Merton,"5,000","6,000","7,000","7,000","8,000","8,000","11,000","17,000","28,000","41,000","62,000","99,000","114,000","158,000","197,000","200,000","189,013","177,324","166,100","162,741","187,919","199,693"
Newham,"8,000","10,000","12,000","14,000","15,000","22,000","43,000","70,000","142,000","240,000","366,000","427,000","448,000","440,000","381,000","294,000","265,388","237,392","209,494","200,678","243,884","307,984"
Redbridge,"4,000","5,000","6,000","7,000","7,000","7,000","9,000","12,000","18,000","31,000","66,000","113,000","124,000","179,000","232,000","257,000","250,080","239,888","226,280","221,107","238,623","278,970"
Richmond upon Thames,"15,000","17,000","20,000","22,000","25,000","28,000","34,000","48,000","61,000","77,000","95,000","124,000","141,000","161,000","178,000","188,000","181,052","174,631","159,693","155,698","172,330","186,990"
Southwark,"116,000","139,000","175,000","207,000","243,000","292,000","346,000","407,000","514,000","572,000","596,000","579,000","571,000","535,000","456,000","338,000","313,413","262,135","211,858","198,916","244,867","288,283"
Sutton,"5,000","5,000","6,000","7,000","8,000","8,000","11,000","16,000","24,000","30,000","38,000","54,000","60,000","103,000","167,000","176,000","169,095","169,493","169,343","164,868","179,767","190,146"
Tower Hamlets,"144,000","180,000","219,000","263,000","310,000","377,000","442,000","512,000","566,000","581,000","597,000","570,000","529,000","489,000","419,000","231,000","205,682","165,777","142,841","153,255","196,083","254,096"
Waltham Forest,"8,000","9,000","11,000","11,000","12,000","13,000","17,000","28,000","54,000","112,000","198,000","258,000","267,000","283,000","286,000","275,000","248,591","234,682","215,947","203,343","218,335","258,249"
Wandsworth,"13,000","16,000","19,000","23,000","28,000","36,000","52,000","99,000","173,000","251,000","319,000","369,000","380,000","388,000","358,000","331,000","335,451","302,256","254,898","239,162","260,379","306,995"
Westminster,"231,000","254,000","298,000","354,000","402,000","462,000","512,000","524,000","513,000","481,000","460,000","421,000","390,000","372,000","347,000","300,000","271,703","239,748","191,098","177,743","181,284","219,396"
